Ciudad,Promedio (£)
london,570075.546
birmingham,258413.802
leeds,290339.053
sheffield,258259.011
manchester,274004.956
bradford,169701.734
bristol,396254.986
coventry,237619.357
leicester,281723.766
nottingham,259974.52
stockport,302388.665
kingston-upon-hull,149351.188
dudley,215650.672
newcastle-upon-tyne,236214.54
bolton,221918.242
walsall,225687.968
plymouth,242792.841
sunderland,175140.08
milton-keynes,343804.914
wolverhampton,224901.156
rotherham,193008.39
southampton,288441.151
derby,235088.491
northampton,283912.976
stoke-on-trent,158074.316
oldham,198958.542
reading,414153.746
luton,309555.634
swindon,278101.402
york,323593.725
portsmouth,278120.384
bournemouth,355491.255
peterborough,243028.989
colchester,319371.411
preston,198062.347
southend-on-sea,349123.667
saint-helens,0.0
norwich,288699.215
brighton,488584.725
chelmsford,397522.551
telford,227550.034
huddersfield,195669.047
oxford,585455.405
middlesbrough,152893.419
slough,420952.862
poole,419299.344
cambridge,570412.757
blackpool,147406.974
west-bromwich,208362.095
exeter,330720.852
blackburn,162381.322
ipswich,259536.605
gloucester,278651.409
solihull,392952.279
crawley,351843.278
basildon,330837.187
watford,470223.99
eastbourne,315463.898
maidstone,369451.953
sutton-coldfield,390140.081
halifax,188030.776
