yearSold,displayPrice
1995,59078.9
1996,53055.083333333336
1997,67638.85245901639
1998,86016.3492063492
1999,89185.81081081081
2000,110140.5172413793
2001,111093.75
2002,155788.9024390244
2003,163040.0
2004,202760.9649122807
2005,178286.50943396226
2006,199348.82352941178
2007,234598.5875
2008,213763.375
2009,192552.2
2010,201740.69696969696
2011,182999.64285714287
2012,240358.375
2013,212164.08333333334
2014,263499.75
2015,266292.5806451613
2016,290301.1538461539
2017,329907.9166666667
2018,298367.08108108107
2019,318778.1967213115
2020,350319.51923076925
2021,344157.5961538461
2022,304458.125
2023,307500.0
2024,397644.9060939061
