yearSold,displayPrice
1995,80272.97297297297
1996,90628.21428571429
1997,101273.06666666667
1998,108758.0350877193
1999,129797.72602739726
2000,155107.75384615385
2001,161457.73333333334
2002,203766.33720930232
2003,220664.765625
2004,239116.171875
2005,251762.63636363635
2006,248664.7972972973
2007,273728.95061728393
2008,287941.1111111111
2009,266575.57575757575
2010,288367.7659574468
2011,286213.5
2012,326810.0333333333
2013,393573.9696969697
2014,473867.890625
2015,430017.14285714284
2016,465610.4929577465
2017,494844.25757575757
2018,457242.4285714286
2019,489848.45454545453
2020,499134.51923076925
2021,475381.6
2022,512440.0
2023,400000.0
2024,569631.6510468594
