yearSold,displayPrice
1995,49278.046875
1996,53236.57142857143
1997,63766.357142857145
1998,62483.62365591398
1999,73077.13580246913
2000,85133.5294117647
2001,94613.18681318681
2002,117926.01020408163
2003,139130.03896103895
2004,141728.84
2005,148655.29230769232
2006,160078.0303030303
2007,174310.88095238095
2008,164305.725
2009,160907.94871794872
2010,151574.6739130435
2011,169315.35416666666
2012,157174.84126984127
2013,166559.80952380953
2014,171912.77777777778
2015,209747.91428571427
2016,277470.7967479675
2017,228745.55555555556
2018,254949.4351851852
2019,250600.88235294117
2020,244919.20454545456
2021,265929.6551724138
2022,251354.7619047619
2023,289663.0
2024,283975.0508474576
