yearSold,displayPrice
1995,73260.73469387754
1996,69252.578125
1997,71570.07042253521
1998,95996.85714285714
1999,108321.38888888889
2000,126552.72727272728
2001,147664.32352941178
2002,153432.65625
2003,191002.0
2004,203666.2168674699
2005,214891.35416666666
2006,208772.56097560975
2007,229021.09411764707
2008,250378.61290322582
2009,220620.27027027027
2010,254442.375
2011,239276.35294117648
2012,230601.32432432432
2013,280409.41509433964
2014,320103.9344262295
2015,320338.7068965517
2016,407776.511627907
2017,397586.4423076923
2018,373392.5
2019,361231.8409090909
2020,337808.5714285714
2021,421484.21875
2022,342117.5
2023,469217.64705882355
2024,469674.73975636763
