Address,Property Type,Bedrooms,Main Image URL,Detail URL,Display Price,Date Sold
"4, Lyne Crescent, London, Greater London E17 5HZ",SEMI_DETACHED,,,https://www.rightmove.co.uk/house-prices/details/england-21943024?s=858a0197b18e5e2b73e806193c09f52223072e11821c1884faae76fa77f09eda,"£715,000",29 Nov 2024
"4, Lyne Crescent, London, Greater London E17 5HZ",SEMI_DETACHED,,,https://www.rightmove.co.uk/house-prices/details/england-21943024?s=858a0197b18e5e2b73e806193c09f52223072e11821c1884faae76fa77f09eda,"£786,000",9 May 2022
"4, Lyne Crescent, London, Greater London E17 5HZ",SEMI_DETACHED,,,https://www.rightmove.co.uk/house-prices/details/england-21943024?s=858a0197b18e5e2b73e806193c09f52223072e11821c1884faae76fa77f09eda,"£642,000",4 Jan 2018
"4, Lyne Crescent, London, Greater London E17 5HZ",SEMI_DETACHED,,,https://www.rightmove.co.uk/house-prices/details/england-21943024?s=858a0197b18e5e2b73e806193c09f52223072e11821c1884faae76fa77f09eda,"£405,000",31 Mar 2016
"4, Lyne Crescent, London, Greater London E17 5HZ",SEMI_DETACHED,,,https://www.rightmove.co.uk/house-prices/details/england-21943024?s=858a0197b18e5e2b73e806193c09f52223072e11821c1884faae76fa77f09eda,"£240,000",31 May 2013
"4, Lyne Crescent, London, Greater London E17 5HZ",SEMI_DETACHED,,,https://www.rightmove.co.uk/house-prices/details/england-21943024?s=858a0197b18e5e2b73e806193c09f52223072e11821c1884faae76fa77f09eda,"£189,995",4 Oct 2002
"60, Southmere House, 1, Highland Street, London, Greater London E15 2ZG",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-21942376?s=10436182b651ed0ab8967d2f00886bbc2ee9c65053e57e15c05610350d9318ec,"£445,000",29 Nov 2024
"60, Southmere House, 1, Highland Street, London, Greater London E15 2ZG",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-21942376?s=10436182b651ed0ab8967d2f00886bbc2ee9c65053e57e15c05610350d9318ec,"£470,000",30 Jan 2019
"22, Grayston House, 21, Astell Road, London, Greater London SE3 9FN",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22102903?s=466e66d68881505924beaa7042fb939f7190c36f057abe18d885d078bb9c1e8c,"£290,000",28 Nov 2024
"22, Grayston House, 21, Astell Road, London, Greater London SE3 9FN",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22102903?s=466e66d68881505924beaa7042fb939f7190c36f057abe18d885d078bb9c1e8c,"£310,000",19 Mar 2021
"22, Grayston House, 21, Astell Road, London, Greater London SE3 9FN",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22102903?s=466e66d68881505924beaa7042fb939f7190c36f057abe18d885d078bb9c1e8c,"£303,000",26 Nov 2015
"Apartment 5, Sarda House, 183 - 189, Queensway, London, Greater London W2 5HL",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22158226?s=0782364ac13d67c326b7c3048b9f47a43ca18c99f2feef08a47f16cded0dc5b8,"£630,000",28 Nov 2024
"Apartment 5, Sarda House, 183 - 189, Queensway, London, Greater London W2 5HL",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22158226?s=0782364ac13d67c326b7c3048b9f47a43ca18c99f2feef08a47f16cded0dc5b8,"£800,000",3 Mar 2015
"Apartment 5, Sarda House, 183 - 189, Queensway, London, Greater London W2 5HL",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22158226?s=0782364ac13d67c326b7c3048b9f47a43ca18c99f2feef08a47f16cded0dc5b8,"£340,000",29 Sep 2003
"Apartment 5, Sarda House, 183 - 189, Queensway, London, Greater London W2 5HL",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22158226?s=0782364ac13d67c326b7c3048b9f47a43ca18c99f2feef08a47f16cded0dc5b8,"£260,000",5 Apr 2000
"Flat 48, Lowry House, Cassilis Road, London, Greater London E14 9LL",FLAT,1,https://media.rightmove.co.uk/dir/60k/59646/149311589/59646_CW06242_IMG_01_0001_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-149311589-21942133?s=243d4ea202f6670a100d261f018e9057837bc27380eead30c60a80292e101850,"£362,500",27 Nov 2024
"Flat 48, Lowry House, Cassilis Road, London, Greater London E14 9LL",FLAT,1,https://media.rightmove.co.uk/dir/60k/59646/149311589/59646_CW06242_IMG_01_0001_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-149311589-21942133?s=243d4ea202f6670a100d261f018e9057837bc27380eead30c60a80292e101850,"£325,000",24 Sep 2007
"Flat 48, Lowry House, Cassilis Road, London, Greater London E14 9LL",FLAT,1,https://media.rightmove.co.uk/dir/60k/59646/149311589/59646_CW06242_IMG_01_0001_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-149311589-21942133?s=243d4ea202f6670a100d261f018e9057837bc27380eead30c60a80292e101850,"£245,000",26 Jul 2004
"77, Longbridge Way, London, Greater London SE13 6PW",SEMI_DETACHED,2,https://media.rightmove.co.uk/dir/4k/3694/148654325/3694_102954005644_IMG_18_0000_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-148654325-22100218?s=25e8f0c8114c93744c77d794e9902fc84f1ab590a878584042530d7899d7f8fa,"£450,000",26 Nov 2024
"77, Longbridge Way, London, Greater London SE13 6PW",SEMI_DETACHED,2,https://media.rightmove.co.uk/dir/4k/3694/148654325/3694_102954005644_IMG_18_0000_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-148654325-22100218?s=25e8f0c8114c93744c77d794e9902fc84f1ab590a878584042530d7899d7f8fa,"£215,000",11 Jan 2007
"77, Longbridge Way, London, Greater London SE13 6PW",SEMI_DETACHED,2,https://media.rightmove.co.uk/dir/4k/3694/148654325/3694_102954005644_IMG_18_0000_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-148654325-22100218?s=25e8f0c8114c93744c77d794e9902fc84f1ab590a878584042530d7899d7f8fa,"£121,000",16 Jul 2001
