Address,Property Type,Bedrooms,Main Image URL,Detail URL,Display Price,Date Sold
"Flat 10, Becket House, Tabard Street, London, Greater London SE1 4XY",FLAT,2,https://media.rightmove.co.uk/dir/83k/82717/152001290/82717_2297580_IMG_00_0000_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-152001290-22099189?s=e4ebea69d20f1b94a19e94cd05a5784f161f8c6807580f8582902f4f19fbaccb,"£468,000",26 Nov 2024
"Flat 10, Becket House, Tabard Street, London, Greater London SE1 4XY",FLAT,2,https://media.rightmove.co.uk/dir/83k/82717/152001290/82717_2297580_IMG_00_0000_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-152001290-22099189?s=e4ebea69d20f1b94a19e94cd05a5784f161f8c6807580f8582902f4f19fbaccb,"£140,000",19 Jul 2001
"Flat 8, Lumiere Court, 52, Lancaster Street, London, Greater London SE1 0RY",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22098979?s=b3a50e1b8eb4d5bf38ce16384fa541a3174bfe971bb99ec1e4129ffaa0f0c5f7,"£820,000",22 Nov 2024
"Flat 8, Lumiere Court, 52, Lancaster Street, London, Greater London SE1 0RY",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22098979?s=b3a50e1b8eb4d5bf38ce16384fa541a3174bfe971bb99ec1e4129ffaa0f0c5f7,"£850,000",17 Mar 2017
"Flat 1, 1, Disney Place, London, Greater London SE1 1HP",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22098997?s=4105878b7923564749d658db3777c2459660cc06d60574781e17222e7a24c5f7,"£775,000",18 Nov 2024
"Flat 1, 1, Disney Place, London, Greater London SE1 1HP",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22098997?s=4105878b7923564749d658db3777c2459660cc06d60574781e17222e7a24c5f7,"£590,000",2 Dec 2011
"Flat 1, 1, Disney Place, London, Greater London SE1 1HP",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22098997?s=4105878b7923564749d658db3777c2459660cc06d60574781e17222e7a24c5f7,"£320,000",15 Jul 2005
"Flat 39, 130, Webber Street, London, Greater London SE1 0JN",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22098970?s=d442c647562daab99bc6169497f97222ccafd2bd2319aab8347e9a46f9425155,"£415,000",14 Nov 2024
"Flat 39, 130, Webber Street, London, Greater London SE1 0JN",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22098970?s=d442c647562daab99bc6169497f97222ccafd2bd2319aab8347e9a46f9425155,"£245,000",7 May 2008
"Flat 16, Chartham House, Weston Street, London, Greater London SE1 4DX",FLAT,2,https://media.rightmove.co.uk/dir/271k/270101/148055108/270101_HEC244635_IMG_00_0000_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-148055108-22099147?s=e01a9ba4324fd9a617bf280cfdaa799a6d92db098c26fa86cf296f77a4886eb2,"£400,000",8 Nov 2024
"Flat 4, St. Georges Court, Garden Row, London, Greater London SE1 6HD",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22099264?s=6da2c067f1398abfb202f6a49d6949ff03074ced62d6fafbfb488d311d5aedfb,"£395,000",8 Nov 2024
"Flat 4, St. Georges Court, Garden Row, London, Greater London SE1 6HD",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22099264?s=6da2c067f1398abfb202f6a49d6949ff03074ced62d6fafbfb488d311d5aedfb,"£235,000",9 Feb 2007
"Apartment 38, 4, Sanctuary Street, London, Greater London SE1 1EA",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22098991?s=5dc99d6a2b06497d84bb6a48ba7f6a8ad0964486dfbe7820a90e63ddfc051d86,"£573,000",1 Nov 2024
"Apartment 38, 4, Sanctuary Street, London, Greater London SE1 1EA",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22098991?s=5dc99d6a2b06497d84bb6a48ba7f6a8ad0964486dfbe7820a90e63ddfc051d86,"£325,000",19 Aug 2005
"Flat 8, Varley House, County Street, London, Greater London SE1 6AL",FLAT,3,https://media.rightmove.co.uk/dir/41k/40512/146965766/40512_33037329_IMG_00_0000_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-146965766-22099231?s=49c48e5724dd7f912acc5f66d0217889e243040d347f0358900913e4ff6f576f,"£450,000",31 Oct 2024
"Flat 8, Varley House, County Street, London, Greater London SE1 6AL",FLAT,3,https://media.rightmove.co.uk/dir/41k/40512/146965766/40512_33037329_IMG_00_0000_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-146965766-22099231?s=49c48e5724dd7f912acc5f66d0217889e243040d347f0358900913e4ff6f576f,"£94,995",15 Oct 1999
"Flat 8, Varley House, County Street, London, Greater London SE1 6AL",FLAT,3,https://media.rightmove.co.uk/dir/41k/40512/146965766/40512_33037329_IMG_00_0000_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-146965766-22099231?s=49c48e5724dd7f912acc5f66d0217889e243040d347f0358900913e4ff6f576f,"£57,000",27 Jun 1997
"Apartment 7, 4, Sanctuary Street, London, Greater London SE1 1EA",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22098988?s=860d692fc2eb0d29f47c16180c4fbfaa1b635d1e3f718c48167039cf17fd1b09,"£420,000",30 Oct 2024
"Apartment 7, 4, Sanctuary Street, London, Greater London SE1 1EA",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22098988?s=860d692fc2eb0d29f47c16180c4fbfaa1b635d1e3f718c48167039cf17fd1b09,"£585,000",6 Sep 2017
"Apartment 7, 4, Sanctuary Street, London, Greater London SE1 1EA",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22098988?s=860d692fc2eb0d29f47c16180c4fbfaa1b635d1e3f718c48167039cf17fd1b09,"£376,000",26 Nov 2010
"Apartment 7, 4, Sanctuary Street, London, Greater London SE1 1EA",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22098988?s=860d692fc2eb0d29f47c16180c4fbfaa1b635d1e3f718c48167039cf17fd1b09,"£345,000",11 Nov 2009
"Apartment 7, 4, Sanctuary Street, London, Greater London SE1 1EA",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22098988?s=860d692fc2eb0d29f47c16180c4fbfaa1b635d1e3f718c48167039cf17fd1b09,"£317,000",29 Nov 2005
"Apartment 111, 1, Blackfriars Road, London, Greater London SE1 9GJ",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22099363?s=2ed38b8e587053dab44ffaaacd2cfe1eaec0fa288eeb5d9560437512251fd61b,"£775,000",30 Oct 2024
"Apartment 111, 1, Blackfriars Road, London, Greater London SE1 9GJ",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22099363?s=2ed38b8e587053dab44ffaaacd2cfe1eaec0fa288eeb5d9560437512251fd61b,"£1,017,600",3 Oct 2018
"13, West Square, London, Greater London SE11 4SN",TERRACED,,,https://www.rightmove.co.uk/house-prices/details/england-94443804?s=d7ecb7697f213fd29745a3db28ac9f50a38f8e9e766115749b2fafa68d3fb3c6,"£550,000",29 Oct 2024
"13, West Square, London, Greater London SE11 4SN",TERRACED,,,https://www.rightmove.co.uk/house-prices/details/england-94443804?s=d7ecb7697f213fd29745a3db28ac9f50a38f8e9e766115749b2fafa68d3fb3c6,"£510,000",3 Mar 1997
"Flat 15, Lake House, Scovell Road, London, Greater London SE1 1QF",FLAT,2,https://media.rightmove.co.uk/dir/231k/230450/149493962/230450_ALEX_IMG_08_0000_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-149493962-22099006?s=7a55868aaa44e2b4a6cfb9d57ed568e849dbeb3f9e2e4f96534d4257c5d93eb7,"£420,000",29 Oct 2024
"Flat 15, Lake House, Scovell Road, London, Greater London SE1 1QF",FLAT,2,https://media.rightmove.co.uk/dir/231k/230450/149493962/230450_ALEX_IMG_08_0000_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-149493962-22099006?s=7a55868aaa44e2b4a6cfb9d57ed568e849dbeb3f9e2e4f96534d4257c5d93eb7,"£420,000",30 Aug 2019
"Flat 15, Lake House, Scovell Road, London, Greater London SE1 1QF",FLAT,2,https://media.rightmove.co.uk/dir/231k/230450/149493962/230450_ALEX_IMG_08_0000_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-149493962-22099006?s=7a55868aaa44e2b4a6cfb9d57ed568e849dbeb3f9e2e4f96534d4257c5d93eb7,"£149,000",18 Mar 2004
"Flat 18, Russell Lodge, 24, Spurgeon Street, London, Greater London SE1 4YJ",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22099192?s=219a98810d5ec6eb639334edb2fb8b49dce6c270c16742ca2a6d129fe9135800,"£560,000",28 Oct 2024
"Flat 18, Russell Lodge, 24, Spurgeon Street, London, Greater London SE1 4YJ",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22099192?s=219a98810d5ec6eb639334edb2fb8b49dce6c270c16742ca2a6d129fe9135800,"£479,950",29 Oct 2020
"Flat 18, Russell Lodge, 24, Spurgeon Street, London, Greater London SE1 4YJ",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22099192?s=219a98810d5ec6eb639334edb2fb8b49dce6c270c16742ca2a6d129fe9135800,"£479,950",10 Aug 2011
"Flat 18, Russell Lodge, 24, Spurgeon Street, London, Greater London SE1 4YJ",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22099192?s=219a98810d5ec6eb639334edb2fb8b49dce6c270c16742ca2a6d129fe9135800,"£199,953",21 Jul 2000
"Flat 2, Hatters Court, 99, Redcross Way, London, Greater London SE1 1EB",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22098994?s=cbc727c1427cce068766e618c6d7715126ad4261eba08791313f763a2e40637e,"£820,000",28 Oct 2024
"Flat 2, Hatters Court, 99, Redcross Way, London, Greater London SE1 1EB",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22098994?s=cbc727c1427cce068766e618c6d7715126ad4261eba08791313f763a2e40637e,"£850,000",17 Jun 2021
"Flat 2, Hatters Court, 99, Redcross Way, London, Greater London SE1 1EB",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22098994?s=cbc727c1427cce068766e618c6d7715126ad4261eba08791313f763a2e40637e,"£340,000",11 Oct 2002
"Flat 2, Hatters Court, 99, Redcross Way, London, Greater London SE1 1EB",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22098994?s=cbc727c1427cce068766e618c6d7715126ad4261eba08791313f763a2e40637e,"£230,000",1 Jul 1999
"Flat 14, Dunkirk House, Long Lane, London, Greater London SE1 4BT",FLAT,2,https://media.rightmove.co.uk/dir/56k/55101/152988677/55101_1274050_IMG_02_0000_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-152988677-22099141?s=ab532bcdffd6482441ad5add504fab002deabe2969fe0866e667c8537c43b452,"£520,000",28 Oct 2024
"Flat 14, Dunkirk House, Long Lane, London, Greater London SE1 4BT",FLAT,2,https://media.rightmove.co.uk/dir/56k/55101/152988677/55101_1274050_IMG_02_0000_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-152988677-22099141?s=ab532bcdffd6482441ad5add504fab002deabe2969fe0866e667c8537c43b452,"£174,000",25 Jun 2007
"Flat 14, Burwash House, Kipling Estate, London, Greater London SE1 3RW",FLAT,2,https://media.rightmove.co.uk/dir/51k/50683/137001281/50683_P265842_IMG_00_0000_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-137001281-94443249?s=1419e2094e0c8740e6c092f09e8976a63ece2bee46ebfb9d7545b4dee477e83e,"£395,000",28 Oct 2024
"Flat 14, Burwash House, Kipling Estate, London, Greater London SE1 3RW",FLAT,2,https://media.rightmove.co.uk/dir/51k/50683/137001281/50683_P265842_IMG_00_0000_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-137001281-94443249?s=1419e2094e0c8740e6c092f09e8976a63ece2bee46ebfb9d7545b4dee477e83e,"£270,000",12 Nov 2012
"Second Floor Flat, 50, Pearman Street, London, Greater London SE1 7RB",FLAT,3,https://media.rightmove.co.uk/dir/41k/40512/149718029/40512_33202572_IMG_00_0000_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-149718029-22099288?s=cb6d16246df5e23c095489437b6d7dea7968189162b0b848407ca4f855f691bd,"£622,750",28 Oct 2024
"Second Floor Flat, 50, Pearman Street, London, Greater London SE1 7RB",FLAT,3,https://media.rightmove.co.uk/dir/41k/40512/149718029/40512_33202572_IMG_00_0000_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-149718029-22099288?s=cb6d16246df5e23c095489437b6d7dea7968189162b0b848407ca4f855f691bd,"£875,000",28 Apr 2017
"Second Floor Flat, 50, Pearman Street, London, Greater London SE1 7RB",FLAT,3,https://media.rightmove.co.uk/dir/41k/40512/149718029/40512_33202572_IMG_00_0000_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-149718029-22099288?s=cb6d16246df5e23c095489437b6d7dea7968189162b0b848407ca4f855f691bd,"£455,000",3 Jul 2009
"Second Floor Flat, 50, Pearman Street, London, Greater London SE1 7RB",FLAT,3,https://media.rightmove.co.uk/dir/41k/40512/149718029/40512_33202572_IMG_00_0000_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-149718029-22099288?s=cb6d16246df5e23c095489437b6d7dea7968189162b0b848407ca4f855f691bd,"£385,000",17 Mar 2006
"Apartment 11, 1, Trundle Street, London, Greater London SE1 1QT",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22099012?s=68b0b9c487a964df5ab20c9c7385946dd7fad4450af63eb4e785ec8871868af8,"£620,000",25 Oct 2024
"Apartment 11, 1, Trundle Street, London, Greater London SE1 1QT",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22099012?s=68b0b9c487a964df5ab20c9c7385946dd7fad4450af63eb4e785ec8871868af8,"£320,000",14 May 2007
"Flat 106, Douglas Buildings, Marshalsea Road, London, Greater London SE1 1JW",FLAT,1,https://media.rightmove.co.uk/dir/78k/77508/143642396/77508_LBL220024_L_IMG_00_0000_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-143642396-22099000?s=b8ad0440b47ef0aa3e421a89b2204aca4d6e019782e692f2a628e56e05424fd9,"£340,000",25 Oct 2024
"Flat 106, Douglas Buildings, Marshalsea Road, London, Greater London SE1 1JW",FLAT,1,https://media.rightmove.co.uk/dir/78k/77508/143642396/77508_LBL220024_L_IMG_00_0000_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-143642396-22099000?s=b8ad0440b47ef0aa3e421a89b2204aca4d6e019782e692f2a628e56e05424fd9,"£348,000",30 Sep 2014
"Flat 106, Douglas Buildings, Marshalsea Road, London, Greater London SE1 1JW",FLAT,1,https://media.rightmove.co.uk/dir/78k/77508/143642396/77508_LBL220024_L_IMG_00_0000_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-143642396-22099000?s=b8ad0440b47ef0aa3e421a89b2204aca4d6e019782e692f2a628e56e05424fd9,"£250,000",19 Aug 2011
"Flat 106, Douglas Buildings, Marshalsea Road, London, Greater London SE1 1JW",FLAT,1,https://media.rightmove.co.uk/dir/78k/77508/143642396/77508_LBL220024_L_IMG_00_0000_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-143642396-22099000?s=b8ad0440b47ef0aa3e421a89b2204aca4d6e019782e692f2a628e56e05424fd9,"£197,000",17 Mar 2008
"Flat 14, 12, Bermondsey Square, London, Greater London SE1 3FD",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22099093?s=cf87a181d73415ad4392397356514b9a48d274c2884d88056f27b4740f47f6ed,"£480,000",25 Oct 2024
"Flat 14, 12, Bermondsey Square, London, Greater London SE1 3FD",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22099093?s=cf87a181d73415ad4392397356514b9a48d274c2884d88056f27b4740f47f6ed,"£293,000",16 Sep 2009
"Flat 51, 130, Webber Street, London, Greater London SE1 0JN",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22098967?s=92086be0d61e262dfa6a9eb0ad1eb3e83f4ea1e8cc48f20c0c03e7c39c0098ce,"£640,000",25 Oct 2024
"Flat 51, 130, Webber Street, London, Greater London SE1 0JN",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22098967?s=92086be0d61e262dfa6a9eb0ad1eb3e83f4ea1e8cc48f20c0c03e7c39c0098ce,"£740,000",17 Aug 2015
"Flat 51, 130, Webber Street, London, Greater London SE1 0JN",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22098967?s=92086be0d61e262dfa6a9eb0ad1eb3e83f4ea1e8cc48f20c0c03e7c39c0098ce,"£375,000",28 May 2010
"Flat 20, Lion Court, 28, Magdalen Street, London, Greater London SE1 2EN",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22099030?s=44d0f326fe17f3dcdc56ba6c6f550d5340ad260deee9a7ad8576c6279aace3df,"£775,000",25 Oct 2024
"Flat 20, Lion Court, 28, Magdalen Street, London, Greater London SE1 2EN",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22099030?s=44d0f326fe17f3dcdc56ba6c6f550d5340ad260deee9a7ad8576c6279aace3df,"£425,000",4 Dec 2006
"Flat 20, Lion Court, 28, Magdalen Street, London, Greater London SE1 2EN",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22099030?s=44d0f326fe17f3dcdc56ba6c6f550d5340ad260deee9a7ad8576c6279aace3df,"£140,000",7 May 1997
"Flat 402, Block C, 27, Green Walk, London, Greater London SE1 4TQ",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22099183?s=58fa62faa6be36d751b93221cc76de3fd10f25bb38a639a93b2a3ed4502d507a,"£651,000",24 Oct 2024
"Flat 402, Block C, 27, Green Walk, London, Greater London SE1 4TQ",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22099183?s=58fa62faa6be36d751b93221cc76de3fd10f25bb38a639a93b2a3ed4502d507a,"£249,000",19 Sep 2003
"Flat 16, Tavern Court, 95, New Kent Road, London, Greater London SE1 6RY",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22099267?s=57c48eb8ed7cd1e0582205f993b2922f05a0951efefd2c601b62e2ed6a8a77b6,"£535,000",24 Oct 2024
"Flat 16, Tavern Court, 95, New Kent Road, London, Greater London SE1 6RY",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22099267?s=57c48eb8ed7cd1e0582205f993b2922f05a0951efefd2c601b62e2ed6a8a77b6,"£495,000",26 Aug 2016
"108b, Great Guildford Street, London, Greater London SE1 0ES",FLAT,2,https://media.rightmove.co.uk/dir/59k/58945/149105153/58945_cb67bedf-7234-4265-a06f-e86e0c0e48f8_IMG_00_0001_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-149105153-22098931?s=8d78ba29a0cc31d8288a5c6027b475011303210504511b25bde676e36130a481,"£800,000",24 Oct 2024
"108b, Great Guildford Street, London, Greater London SE1 0ES",FLAT,2,https://media.rightmove.co.uk/dir/59k/58945/149105153/58945_cb67bedf-7234-4265-a06f-e86e0c0e48f8_IMG_00_0001_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-149105153-22098931?s=8d78ba29a0cc31d8288a5c6027b475011303210504511b25bde676e36130a481,"£750,000",25 Jun 2021
"108b, Great Guildford Street, London, Greater London SE1 0ES",FLAT,2,https://media.rightmove.co.uk/dir/59k/58945/149105153/58945_cb67bedf-7234-4265-a06f-e86e0c0e48f8_IMG_00_0001_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-149105153-22098931?s=8d78ba29a0cc31d8288a5c6027b475011303210504511b25bde676e36130a481,"£685,000",24 Apr 2015
"108b, Great Guildford Street, London, Greater London SE1 0ES",FLAT,2,https://media.rightmove.co.uk/dir/59k/58945/149105153/58945_cb67bedf-7234-4265-a06f-e86e0c0e48f8_IMG_00_0001_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-149105153-22098931?s=8d78ba29a0cc31d8288a5c6027b475011303210504511b25bde676e36130a481,"£476,710",12 Oct 2010
"108b, Great Guildford Street, London, Greater London SE1 0ES",FLAT,2,https://media.rightmove.co.uk/dir/59k/58945/149105153/58945_cb67bedf-7234-4265-a06f-e86e0c0e48f8_IMG_00_0001_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-149105153-22098931?s=8d78ba29a0cc31d8288a5c6027b475011303210504511b25bde676e36130a481,"£425,000",14 Dec 2007
"108b, Great Guildford Street, London, Greater London SE1 0ES",FLAT,2,https://media.rightmove.co.uk/dir/59k/58945/149105153/58945_cb67bedf-7234-4265-a06f-e86e0c0e48f8_IMG_00_0001_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-149105153-22098931?s=8d78ba29a0cc31d8288a5c6027b475011303210504511b25bde676e36130a481,"£230,000",25 Feb 2000
"Flat 27, 25, Harper Road, London, Greater London SE1 6AW",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22099234?s=ba28e0ae76b38f122e437b8c120bf60431efcd872c7684df7f192d6cbbb75d16,"£960,000",23 Oct 2024
"Flat 27, 25, Harper Road, London, Greater London SE1 6AW",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-22099234?s=ba28e0ae76b38f122e437b8c120bf60431efcd872c7684df7f192d6cbbb75d16,"£925,000",19 Aug 2019
"Flat 24, Sumner Buildings, Sumner Street, London, Greater London SE1 9JX",FLAT,2,https://media.rightmove.co.uk/dir/34k/33557/151265336/33557_CEN241073_IMG_00_0000_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-151265336-22099369?s=ac30c40c79802dd5f14386047e7948b810ece7083e800467678546532c94b022,"£575,000",23 Oct 2024
